596438,In vitro studies of the substrates for energy production and the effects of insulin on glucose utilization in the neural components of peripheral nerve.,"An ""endoneurial"" preparation from a rabbit tibial nerve fascicle was used to study the ability of peripheral nerve axons and Schwann cells to derive their composite energy requirements from glucose, D-beta-hydroxybutyrate, or albumin-bound palmitate, and the effects of insulin in vitro on their composite glucose utilization. Samples incubated with 5 mM glucose for 2 h maintained a stable O2 uptake and P-creatine and ATP concentrations, and they exhibited a slight increase in P-creatine/creatine ratio (the electron microscopic appearance of the preparation was previously shown to be unaltered under these conditions). The rate of glucose oxidation required to account for the O2 uptake accounted for 61% of the glucose uptake. In samples incubated without substrate for 2 h, a marked fall in tissue glucose was associated with a 50% decrease in O2 uptake and with decreases in P-creatine, ATP, and in the P-creatine/creating ratio. In medium lacking glucose but containing 5 mM DL-beta-hydroxybutyrate, a stable rate of D-beta-hydroxybutyrate uptake was observed, and acetoacetate production accounted for only a small fraction; significant decreases in O2 uptake or ATP were prevented, and, although P-creatinde and the P-creatine/creatine ratio fell, they remained significantly higher than after incubation without substrate. An efficient blood-nerve barrier to albumin is known to exist. Medium containing albumin-bound palmitate with molar ratios or palmitate/albumin of 1 or 2 (highest FFA concentration, 1.32 meq/L) failed to prevent decreases in P-creatine, ATP, and in the P-creatine/creatine ratio during incubations without glucose; the associated O2 uptakes suggested that the tissue is susceptible to respiratory uncoupling and depression son exposure to albumin-blund palmitate as compared with non-neural tissue. Insulin (100 or 1000 microU/ml) had no detectable effects on glucose utilization in the endoneurial preparation during 2-h incubations with 5 mM glucose or (U-14C) glucose. In contrast, in epineurial tissue from rabbit sciatic nerve, insulin (100 micronU/ml) increased (U-14C) glucose incorporation into CO2 and total lipid. The neural components of peripheral nerve are probably dependent on glucose as their major substrate for energy production and respiration under most physiologic conditions in which elevated plasma ketone body concentrations are absent; their composite glucose utilization is not subject to acute, direct regulation by insulin in concentrations that might reasonably be derived from plasma insulin of pancreatic origin.",0,rat (day 20 gestation); placentas; fetal liver; fetal brain,animal; in vitro,Animal – Rat; Ex vivo – Tissue/Organ explant or slice,"oxidation of glucose and lactate, down",Metabolic Regulation,placenta,Placenta/Decidua,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
616372,Fetal fuels II: contributions of selected carbon fuels to oxidative metabolism in rat conceptus.,"The effects of fasting on the oxidative disposition of selective fuels in tissues of the rat conceptus were examined on day 20 of gestation. Placentas and portions of fetal liver and brain from fed and 48-h fasted mothers were incubated in vitro with artificial mixtures containing glucose, lactate, and beta-hydroxybutyrate in concentrations simulating those that obtain in fed or 48-h fasted animals in vivo. Oxidative contributions from individual components were evaluated by separate incubations in which only one of the three fuels was 14C-labeled. As judged by the evolution of 14CO2, rates of oxidation of individual fuels by tissues of the conceptus appeared to be conditioned by ambient fuel concentrations rather than the dietary status of the mother. Additional studies indicated that evolution of 14CO2 from glucose or lactate may be depressed directly by adding beta-hydroxybutyrate to the incubation medium. This substitutive property of beta-hydroxybutyrate may ""spare"" glucose and lactate within the placenta for transfer to the fetus and preserve glucose and lactate availability for biosynthetic rather than oxidative disposition within the fetus.",GLUD1,acidotic dogs; normal dogs,animal; in vitro,Animal – Other Mammal,"net flux through glutamate dehydrogenase reaction, down",Metabolic Regulation,renal cortex,Kidney,kidney tubules,Epithelial – Renal & Urothelial,Renal tubular epithelial,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketone bodies (beta-hydroxybutyrate and acetoacetate),Exogenous BHB (unspecified/free acid),NS
627477,"Relationship between the renal metabolism of glutamine, fatty acids and ketone bodies.","Using renal cortical slices from acidotic and normal dogs we show that fatty acids such as crotonate, octanoate, palmitate and oleate as well as ketone bodies (beta-hydroxybutyrate and acetoacetate) in concentrations ranging from 0.5 to 5.0 mM induce a 30 to 50% decrease in glutamine uptake and ammonia production when glutamine (1 mM) is used as the basic substrate. Glucose production also decreases by 20 to 30%. Glutamate release in the incubation medium is significantly augmented by fatty acids or ketones. When glutamate 5 mM is used as substrate instead of glutamine, glutamate uptake, ammoniagenesis and glucose production are significantly depressed by fatty acids and ketones. Increased glutamate release from glutamine, decreased glutamate uptake and decreased gluconeogenesis from glutamine or glutamate provide evidence that ketone bodies and fatty acids depress the net flux through the glutamate dehydrogenase reaction invovled in glutamine metabolism. This is further supported by the fact that addition of ketones to alpha-ketoglutarate and ammonia stimulates net glutamate synthesis by kidney tubules.",0,dogs,animal,Animal – Other Mammal,"aerobic metabolism, down",Metabolic Regulation,kidney,Kidney,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Unilateral ureteral obstruction,Renal & Urological,"NS, nan","NS, nan",infused,NS,NS
627632,Effect of obstruction of renal metabolism. Renal tissue metabolite concentration after alpha-ketoglutarate infusion.,"beta-Hydroxybutyrate and/or alpha-ketoglutarate were infused into awake, resing dogs after varying periods of unilateral ureteral obstruction. The animals were then anesthetized, and the kidneys rapidly excised and frozen in liquid nitrogen. While maintained at temperatures below -60 C, the frozen kidneys were separated into cortical and medullary fractions. The concentrations of alpha-ketoglutarate, glutamate, lactate, pyruvate, citrate, and malate were determined in both cortical and medullary renal tissue. The induction of reversible renal damage by 2 weeks of obstruction was associated with decreased ability to accumulate alpha-ketoglutarate after alpha-ketoglutarate and/or beta-hydroxybutyrate infusion. The induction of irreversible renal damage by 6 weeks of obstruction was associated with the inability to produce or accumulate (i) alpha-ketoglutarate, (ii) lactate, (iii) citrate, or (iv) malate after infusion of alpha-ketoglutarate and/or beta-hydroxybutyrate. The metabolic changes induced by unilateral ureteral obstruction indicatr that aerobic metabolism is inhibited with the virtual elimination of many aerobic reacions in the irreversibly damaged kidney. The reversibly damaged kidney is capable carrying on certain aerobic reactions but usually at a diminished rate. Differences in the extent and character of the metabolic changes induced by ureteral obstruction may make it possible to predict the degree of renal damage and, therefore, recoverability.",0,rats,animal,Animal – Rat,"substrate oxidation, NS",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",intravenous infusion,Intravenous BHB,NS
646243,Hepatic versus cerebral origin of stimulus for feeding induced by 2-deoxy-d-glucose in rats.,"Intravenous administration of 2-deoxy-D-glucose (2-DG), a competitive inhibitor of glucose utilization, increased the food intake of rats. Infusions of glucose or mannose abolished this effect, whereas equimolar fructose solutions did not affect 2-DG-induced feeding. Similar results were obtained when 2-DG and the hexoses were administered into the hepatic portal vein. These findings suggest that 2-DG elicits feeding due to glucoprivation at a site that is inaccessible to fructose. This site is likely to be in the brain, not the liver, because all three sugars can nourish peripheral tissue but only fructose cannot penetrate the blood-brain barrier. Moreover, 2-DG-induced feeding was abolished by intravenous infusion of beta-hydroxybutyrate, a substrate that can be oxidized by brain and other tissues but not by the liver.",0,three new cases; one patient studied in detail; eight other patients,human,NS; Human – Observational/Patient samples,"NS, nan",Other / Unspecified,skeletal muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Carnitine palmitoyltransferase deficiency,Metabolic & Endocrine,"mylagias and weakness, down","Muscle weakness, down",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
648743,Recurrent myoglobinuria due to muscle carnitine palmityl transferase deficiency.,"Three new cases of carnitine palmityl transferase deficiency are described. The syndrome consists of recurrent attacks of muscle cramps, weakness, malaise, and myoglobinuria. These attacks are especially likely to occur during prolonged exercise after fasting, eating a high-fat diet, or during cold weather. Occasionally after fasting alone, spontaneous muscle breakdown may occur. One patient studied in detail was excessively slow in producing ketones when he fasted. His mylagias and weakness appeared to be alleviated by beta-hydroxybutyrate. Of eight other patients thought to have idiopathic recurrent myoglobinuria, three were found to have myophosphorylase deficiency, whereas five did not have deficiency of either enzyme. Carnitine palmityl transferase deficiency may be more common than previously supposed, may be in part amenable to dietary therapy, can be easily distinguished from myophosphorylase deficiency, and may provide insight into the metabolism of fatty acids and ketone bodies as well as energy requirements of skeletal muscle.",INSR,IM-9-cultured human lymphocytes,in vitro,In vitro – Immortalized cell line,"counteracting the effects of acidosis, up",Metabolic Regulation,human lymphocytes,Immune system (unspecified lymphoid tissue),IM-9-cultured human lymphocytes,Hematopoietic / Immune,B cells,NS,Unspecified / Generic,NS,Diabetic ketoacidosis,Metabolic & Endocrine,"insulin binding, up","Insulin binding, up",NS,NS,NS
836462,Ketoacids and the insulin receptor.,"The binding of insulin to a specific receptor on IM-9-cultured human lymphocytes was studied in vitro under conditions simulating diabetic ketoacidosis. Compared with control incubations at pH 7.4, binding was reduced by 19 per cent at pH 7.1 and by 48 per cent at pH 6.8. Addition of beta-hydroxybutyrate, at concentrations similar to those seen clinically, ""restored"" insulin binding toward normal. We suggest that, by counteracting the effects of acidosis, ketoacids themselves maintain normal insulin-receptor binding in diabetic ketoacidosis. These data also illustrate that small molecules, present in vivo, can significantly alter the interactions between a hormone and its receptor in vitro.",0,dog; unilateral ureteral obstruction (2 weeks reversible; 6 weeks irreversible),animal,Animal – Other Mammal; Animal – Mouse; NS,"NS, nan",Other / Unspecified,kidney,Kidney,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",infusion of beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
901796,Effects of ureteral obstruction on the renal metabolism of alpha-ketoglutarate and other substrates in vivo.,"The renal metabolims of alpha-ketoglutarate, glutamate, oxygen, carbon dioxide, and citrate during the infusion of beta-hydroxybutyrate and/or alpha-ketoglutarate was evaluated in vivo in the awake, resting dog after varying periods of unilateral ureteral obstruction. The induction of reversible renal damage by 2 weeks of obstruction was associated with (i) decreased utilization of alpha-ketoglutarate and oxygen; (ii) decreased production of carbon dioxide; (iii) elevated respiratory quotient; and (iv) nearly complete lack of citrate production. The induction of irreversible renal damage by 6 weeks of obstruction was associated with (i) a nearly total absence of alpha-ketoglutarate utilization; (ii) a markedly decreased amount of oxygen utilization and carbon dioxide production; (iii) a normal respiratory quotient; and (iv) a nearly total absence of citrate production. The metabolic changes observed after obstruction indicate that aerobic metabolism is inhibited by either reversible or irreversible renal damage. However, certain anaerobic reactions continued in the reversibly damaged kidney. Differences in the extent and character of metabolic changes may make it possible to predict the degree of renal damage.",0,pregnant Sprague-Dawley rats at 21 days of gestation; fetal rats (in utero),animal,Animal – Rat,"synthesis of fatty acids and cholesterol, NS",Multiple mechanisms,placenta,Placenta/Decidua,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",D-beta-[3-14C]hydroxybutyrate; DL-beta-[3-14C]hydroxybutyrate,NS,D-BHB; racemic
934725,Fetal utilization of maternally derived ketone bodies for lipogenesis in the rat.,"When D-beta-[3-14C]hydroxybutyrate was injected via the femoral vein into pregnant Sprague-Dawley rats at 21 days of gestation, D-beta-[3-14C]hydroxybutyrate was enzymatically detected in fetal plasma within 5 min. The time course of the incorporation of DL-beta-[3-14C]hydroxybutyrate into fetal lipids was studied. Lipid extracts of brown adipose tissue exhibited the greatest relative incorporation followed by pancreas, liver and lung. Less radioactivity was incorporated into brain and placenta. The incorporation into fetal lipids was several-fold greater than into maternal lipids. The labelling of the individual phospholipids was similar in the different tissues with phosphatidylcholine accounting for more than 50%. 75% of the radioactivity in brown adipose tissue was in the triacylglycerol fraction. In brain, liver and placenta, approximately half of the neutral lipid radioactivity was in cholesterol. Experiments in which D-beta-[3-14C]hydroxybutyrate was directly injected into fetuses in utero confirmed that this substrate was directly used by the fetuses without maternal intervention. These studies demonstrate that the rat placenta is permeable to beta-hydroxybutyrate and suggest that this ketone body is rapidly used by the fetus for the synthesis of fatty acids and cholesterol.",0,Eighteen children; ages 10 y; ages 10-18 y,human,Human – Observational/Patient samples; NS,"anticonvulsant action, up",Neurotransmission & Neuronal Plasticity,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"anticonvulsant effect, up","Seizure protection, up",feeding of medium chain triglycerides (MCT),MCT / Medium-chain fats,D-BHB
955305,Ketonemia and seizures: metabolic and anticonvulsant effects of two ketogenic diets in childhood epilepsy.,"Metabolic effects of a new ketogenic regimen in which ketonemia is induced by feeding of medium chain triglycerides (MCT) are described, and comparisons are made with effects of the standard high fat ketogenic diet. Eighteen children maintained on the MCT diet for 3 months to 4 years failed to show elevations of serum cholesterol and had only a slight rise in serum total fatty acids, in contrast to the marked hyperlipidemia observed in children on the standard high fat diet. Long term use of the MCT diet did not affect pH of venous blood. Blood glucose fell below 50 mg/100 ml in one-third of the children, the lowest levels being reached 2--3 weeks after the start of the diet. Plasma D(--)-beta-hydroxybutyrate (BHB) and acetoacetate rose gradually after institution of diet therapy, maximum levels being reached after about 1 month. Higher levels of BHB and acetoacetate were achieved in children under the age of 10 years (BHB = 4.3 mM +/- 0.6 SEM, acetoacetate = 1.8 mM +/- 0.3 SEM) than in 10--18 year olds (BHB = 1.6 mM +/- 0.2 SEM, acetoacetate = 0.57 mM +/- 0.08 SEM). Plasma BHB and acetoacetate levels in children maintained on a 3:1 high fat diet were similar to those in children on a 60% MCT diet. Plasma levels of BHB showed a significant correlation with anticonvulsant effect (P less than 0.02). Both the ketonemia and the anticonvulsant action were reversed rapidly by intravenous infusion of glucose.",0,healthy volunteers; insulin-dependent diabetics,human,Human – Observational/Patient samples,"beta-hydroxybutyrate utilization, up",Metabolic Regulation,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Diabetes mellitus,Metabolic & Endocrine,"plasma glucose, down; plasma alanine, down","Blood glucose, down; Plasma alanine, down",Na DL-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
