PMID,BHB Target,Model Raw,Model Global,Model Cannonical,Mechanism Raw,Mechanism Cannonical,Organ/tissue Raw,Organ/tissue Cannonical,Cell Type Raw,Cell Type Global,Celly Type Cannonical,Organelle Raw,Organelle Global,Organelle Cannonical,Disease,Disease Category,Disease Outcome Nonstandardized,Disease Outcome Standardized,BHB Source Raw,BHB Source Cannonical,Isomer
1081046,0,large omentum adipose tissue,in vitro,Ex vivo – Tissue/Organ explant or slice,"lipolysis, down",Metabolic Regulation,large omentum adipose tissue,Adipose tissue,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
10869339,0,COS cells; transgenic mice with targeted neuronal expression of ABAD,in vitro; animal,In vitro – Immortalized cell line; Animal – Mouse,"oxidation by ABAD, NS",Metabolic Regulation,brain,Brain/CNS,COS cells,Unspecified / Mixed,Cell line (origin unclear),NS,Unspecified / Generic,NS,nan,Other / Unspecified,"cellular energy charge, up","Cellular energy charge, up",d-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),D-BHB
10926303,0,7-d-old rat pups; neonatal rats,animal,Animal – Rat,"elevation of ketone bodies, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hypoxic-ischemic encephalopathy,Injury & Trauma,"brain damage, down","Brain injury, down",blood beta-hydroxybutyrate levels,Exogenous BHB (unspecified/free acid),NS
11009472,0,rat heart cells,animal; in vitro,Animal – Rat,"replenishment of NADH(m), down",Mitochondrial Function & Bioenergetics,heart,Heart,rat heart cells,Unspecified / Mixed,Mixed cell population,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"amplitude of contraction, down","Muscle contraction amplitude, down",2 mM beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
11091022,0,lactating rats; pups' brain slices,animal; in vitro,Animal – Rat; Ex vivo – Tissue/Organ explant or slice,"glucose oxidation, down",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",incubation medium,In vitro media supplementation,NS
11179061,0,7-wk streptozotocin diabetic rats; control rats; isolated perfused rat hearts,animal,Animal – Rat,"ATP depletion, no-change",Cell Death & Survival,heart,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Diabetic cardiomyopathy,Cardiovascular,"recovery of contractile function, no-change","Cardiac function, no-change",4 mM beta-hydroxybutyrate plus 1 mM acetoacetate,Exogenous BHB (unspecified/free acid),NS
11198492,0,children on the ketogenic diet,human,Multi-model,"NS, nan",Other / Unspecified,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"seizure frequency, down","Seizure activity, down",ketogenic diet,Ketogenic diet (endogenous),NS
11288149,0,alloxan-induced diabetic young adult rabbits,animal,Animal – Other Mammal,"inhibition of glucose metabolism, down",Metabolic Regulation,brain,Brain/CNS,glia,Neural / Glial,Neural stem/progenitors (NSC/NPC),NS,Unspecified / Generic,NS,Diabetes mellitus,Metabolic & Endocrine,"brain glucose accumulation, up","Brain glucose, up",NS,NS,NS
1133179,0; INS; GCG,nonobese subjects; obese subjects (postabsorptive); obese subjects after 3 days starvation; obese subjects after 3-5 1/2 wk starvation; obese subjects fasted 5-10 wk,human,Human – Observational/Patient samples; Multi-model,"nitrogen conservation, up",Metabolic Regulation,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Starvation,Metabolic & Endocrine,"protein catabolism, down","Protein catabolism, down",Na dl-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
11340649,0,cerebellar granule neurons,in vitro,In vitro – Primary cells,"protective effect, no-change",Other / Unspecified,cerebellum,Brain/CNS,cerebellar granule neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Ischemic stroke,Cerebrovascular / Stroke,"neuronal death, no-change","Neuronal survival, no-change",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
11469564,0,chicks,animal,Animal – Other Mammal,"inhibitory signal, down",Other / Unspecified,central and peripheral nervous systems,Multi-tissue,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"food intake, down","Food intake, down",central and peripheral injection,Multi-source,NS
11548795,BAX; BCL2; PARP1; ICAM1,Male Sprague Dawley rats,animal,Animal – Rat,"expression of cellular injury markers, down",Cell Death & Survival,lung,Lung,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Pulmonary cellular injury,Respiratory,"pulmonary apoptosis, down","Apoptosis, down",Ketone Ringer's (containing 28 mEq/L of beta-hydroxybutyrate),Exogenous BHB (unspecified/free acid),NS
11682154,0,rat; striatum; hippocampus,animal,Animal – Rat; NS,"glutamate uptake, down",Ion & Nutrient Transport,striatum,Brain/CNS,neuron,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Ischemic neuronal death,Neurodegenerative,"neuronal death, no-change","Neuronal survival, no-change",NS,NS,NS
11700013,0,bilateral carotid artery ligation; hypoxia; anoxia; ischemia,animal,Animal – Other Mammal; NS,"ATP levels, up",Mitochondrial Function & Bioenergetics,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Cerebral hypoxia; Anoxia; Ischemia,Injury & Trauma; Cerebrovascular / Stroke,"cerebral water content, down; sodium content, down; ATP level, up; lactate level, down","Brain injury, down; Sodium content, down; ATP level, up; Lactate, down",isotonic solution,NS,NS
11701435,SLC2A1; SLC2A4; AKT1,primary cultures of adult cardiomyocytes,in vitro,In vitro – Primary cells,"protein kinase B activation, down","Cell Proliferation, Growth & Differentiation",heart,Heart,cardiomyocytes,Muscle – Cardiac,Cardiomyocytes,NS,Unspecified / Generic,NS,Insulin resistance,Metabolic & Endocrine,"insulin-stimulated glucose uptake, down","Glucose tolerance, down",beta-hydroxybutyrate (beta-OHB),Exogenous BHB (unspecified/free acid),NS
1182028,ARG1,isolated hepatocytes from fasted rats,animal; in vitro,Multi-model,"urea formation, up",Metabolic Regulation,liver,Liver,hepatocytes,Epithelial – Hepatobiliary & Pancreatic Ductal,Hepatocytes,mitochondrial membrane,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
1183622,0,young growing rats; chicks; pigs,animal,Animal – Rat; Animal – Other Mammal,"glycolytic rate, down",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"fatty acid synthesis, down","Fatty acid synthesis, down","1,3-butanediol (BD)","1,3-Butanediol (BD)",NS
11911577,IGHM; 0,Sardinian ewes; mononuclear cells,animal; in vitro,Animal – Other Mammal; In vitro – Primary cells,"NS, nan",Other / Unspecified,NS,NS,mononuclear cells,Unspecified / Mixed,Mixed cell population,NS,Unspecified / Generic,NS,Ketosis,Metabolic & Endocrine,"immunoresponsiveness, no-change","Recognition memory, no-change",BHBA,NS,NS
11952765,0,Frings audiogenic seizure-susceptible mice,animal,Animal – Mouse,"anticonvulsant activity, no-change",Neurotransmission & Neuronal Plasticity,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"seizure occurrence, no-change","Seizure activity, no-change",D-(-)- and L-(+)-isomers,NS,racemic
11978397,0,pregnant rabbits,animal,Animal – Other Mammal,"glycolysis, down",Metabolic Regulation,fetal brain,Brain/CNS,glia,Neural / Glial,Neural stem/progenitors (NSC/NPC),NS,Unspecified / Generic,NS,Maternal diabetes,Reproductive & Pregnancy,"glucose-derived acetyl-CoA entry into TCA cycle, down","Ketone utilization, down",NS,NS,NS
12067838,0,nondiabetic subjects; insulin-dependent diabetes mellitus (IDDM) patients,human,Human – Observational/Patient samples,"ketone body utilization, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Type 1 diabetes mellitus,Metabolic & Endocrine,"cerebral ketone body utilization, up","Ketone utilization, up",R-beta-[1-(11)C]hydroxybutyrate; unlabeled R-beta-hydroxybutyrate infusion,NS; Exogenous BHB (unspecified/free acid),NS
12076845,0,Young (day 23) Sprague-Dawley rats; ad libitum (AL); calorie-restricted normal rodent chow (CR); calorie-restricted ketogenic diet (KD)-fed,animal,Animal – Rat; NS; Human – Interventional,"fatty acid oxidation inhibition, down",Metabolic Regulation,plasma,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"latency to PTZ-induced seizures, down","Seizure activity, down",NS,NS,NS
12083741,0,rats; permanent middle cerebral artery (p-MCA) occlusion; transient middle cerebral artery (t-MCA) occlusion; hypoxia; anoxia; global cerebral ischemia,animal,Animal – Rat; Animal – Other Mammal; NS,"cerebral energy metabolism, up",Mitochondrial Function & Bioenergetics,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Ischemic stroke,Cerebrovascular / Stroke,"infarct area, down","Infarct size, down",BHB (30 mg x kg(-1) x h(-1) was continuously administered through the femoral vein),Intravenous BHB,NS
12153442,0,adult male Wistar rats; global ischemia by occlusion of the two carotid arteries for 1 hr; reperfusion for 1 hr,animal,Animal – Rat; Animal – Other Mammal; NS,"NS, nan",Other / Unspecified,brain,Brain/CNS,erythrocytes,Blood (non-nucleated),Erythrocytes / Reticulocytes,cytosolic fraction,Cytosol,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
1226435,0,isolated perfused rabbit hearts,animal,Animal – Other Mammal,"tissue redox state, more reduced",Oxidative Stress & Antioxidant Defense,heart,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"deleterious effects, increase","Adverse effects, increase",perfusate,NS,NS
12381528,0,cultured sheep ruminal epithelial cells; intact ruminal epithelium,animal; in vitro,Animal – Other Mammal; Ex vivo – Tissue/Organ explant or slice,"MCT1-mediated removal, NS",Ion & Nutrient Transport,ruminal epithelium,Stomach,ruminal epithelial cells,Epithelial – Gastrointestinal,GI epithelium (unspecified),cytosol,Cytosol,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",extracellular addition of D-beta-hydroxybutyrate (20 mM),Exogenous BHB (unspecified/free acid),D-BHB
12435474,ICAM1; 0,HBMEC,human; in vitro,In vitro – Primary cells,"HBMEC activation, no-change",Inflammation & Immune Response,brain,Brain/CNS,human brain microvascular endothelial cells (HBMEC),Endothelial,Microvascular endothelial,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
12510022,0,isolated nerve terminals; synaptosomes,in vitro,Ex vivo – Tissue/Organ explant or slice,"glutamate consumption, down",Metabolic Regulation,nerve terminals,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate (5mM),Exogenous BHB (unspecified/free acid),NS
1266963,0,rat,animal,Animal – Rat,"permeability, up",Vascular Function & Angiogenesis,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Ketotic state,Reproductive & Pregnancy,"glucose sparing, up; protein sparing, up","Glucose utilization, up; Protein sparing, up",subcutaneous injection of [14C]betaHB,Subcutaneous BHB,D-BHB; L-BHB
126871,0,male rats (streptozotocin-induced diabetes),animal,Animal – Rat,"NS, nan",Other / Unspecified,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan","1,3-butanediol (BD)","1,3-Butanediol (BD)",NS
12832326,IL6,type 1 diabetic patients; healthy siblings; U937 monocytes,human; in vitro,Human – Observational/Patient samples; In vitro – Immortalized cell line,"ROS generation, no-change",Oxidative Stress & Antioxidant Defense,blood,Blood,U937 monocytes,Hematopoietic / Immune,Monocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",exogenous addition,NS,NS
12947328,0,Male Sprague Dawley rats; volume-controlled hemorrhagic shock and resuscitation,animal,Animal – Rat; Animal – Other Mammal,"metabolic modulation, no-change",Metabolic Regulation,lung,Lung,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hemorrhagic shock,Injury & Trauma,"pulmonary apoptosis, down","Apoptosis, down",ketone Ringer's solution with lactate substituted by BHB (KR),Intravenous BHB,NS
12969881,0; ACACA,anesthetized pigs,animal,Animal – Other Mammal,"fatty acid uptake and oxidation, down",Metabolic Regulation,myocardium,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",intravenous infusion of beta-hydroxybutyrate (25 micromol.kg-1.min-1),Exogenous BHB (unspecified/free acid),NS
12975474,0,MPTP-treated mice,animal,Animal – Mouse,"mitochondrial respiration, up",Mitochondrial Function & Bioenergetics,nigrostriatal region,Brain/CNS,dopaminergic neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Parkinson's disease,Neurodegenerative,"dopaminergic neurodegeneration, down; motor deficits, down","Neuronal survival, down; Motor function, down",d-beta-hydroxybutyrate (DbetaHB) infusion,Exogenous BHB (unspecified/free acid),D-BHB
1312786,0,normal postabsorptive volunteers; LCT (6 subjects); MCT-LCT (6 subjects); D-beta-hydroxybutyrate infusion (6 subjects); saline (4 subjects),human,Human – Interventional; Human – Observational/Patient samples,"ketone body mediation, no-change",Metabolic Regulation,whole body,Systemic/Whole organism,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"leucine oxidation, no-change","Leucine oxidation, no-change",D-beta-hydroxybutyrate (540 mumol.kg-1.h-1),Exogenous BHB (unspecified/free acid),D-BHB
14427,0,isolated mitochondria,in vitro,In vitro – Primary cells,"NAD exit, down",Metabolic Regulation,NS,NS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"lesion evolution, down","Brain injury, down",beta-hydroxybutyrate (BOH),Exogenous BHB (unspecified/free acid),NS
14510820,GRIN1; 0,cultured rodent neocortical neurons,in vitro,In vitro – Primary cells,"voltage-dependent blockade, down",Ion & Nutrient Transport,neocortex,Brain/CNS,neocortical neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"seizure activity, down","Seizure activity, down",L-(+)-beta-hydroxybutyrate (L-BHB); both stereoisomers and racemate tested,Exogenous BHB (unspecified/free acid); NS,L-BHB
14522413,0,rats; isolated perfused hearts (Langendorff),animal; in vitro,Animal – Rat; Ex vivo – Tissue/Organ explant or slice,"increased citrate level, up",Metabolic Regulation,heart,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
14578386,0,rat,animal,Animal – Rat,"chromatin condensation, down",Epigenetic Regulation,corneal epithelium,Eye/Retina,corneal epithelial cell,Epithelial – Skin & Eye,Corneal epithelium,NS,Unspecified / Generic,NS,Ocular surface epithelial disorders; Dry eye syndrome,Ophthalmologic,"epithelial defect area, down","Wound healing, down","D-beta-hydroxybutyrate (HBA) (20, 40, 80 mM)",Exogenous BHB (unspecified/free acid),D-BHB
1458194,0,rats subjected to forced alcoholization for 5.5 days,animal,Animal – Rat,"heart contractility depression, up",Vascular Function & Angiogenesis,heart,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Postintoxication heart injury,Toxicology / Poisoning,"heart contractility, down","Cardiac function, down",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
1461133,0,normal postabsorptive subjects,human,Human – Observational/Patient samples,"plasma free fatty acids, down",Metabolic Regulation,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"glucose concentration, down","Blood glucose, down",D-beta-hydroxybutyrate (D-beta-OHB),Exogenous BHB (unspecified/free acid),D-BHB
1462252,0,rat embryos; diabetic rat serum; normal rat serum,animal; in vitro,Animal – Rat,"uptake, no-change",Ion & Nutrient Transport,embryo,Systemic/Whole organism,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Diabetic pregnancy,Reproductive & Pregnancy,"somatic malformations, up","Somatic malformations, up",supplemented in culture medium,In vitro media supplementation,NS
14633126,CDKN1A; CDKN1B; 0; TGFB1; ACTA2,HK-2 cells,in vitro,In vitro – Immortalized cell line,"oxidative stress-mediated Smad2/3 activation, up",Multiple mechanisms,proximal tubule,Kidney,HK-2 cells,Epithelial – Renal & Urothelial,Renal tubular epithelial,nucleus,Nucleus & Chromatin,Nucleoplasm,nan,Other / Unspecified,"cell cycle-dependent growth inhibition, up","Cell growth inhibition, up",NS,NS,NS
1465055,0,acutely uremic rats; starved acutely uremic rats; sham-operated controls; bilaterally nephrectomized rats; isolated liver cells; hepatocytes,animal; in vitro,Animal – Rat; Animal – Other Mammal; In vitro – Primary cells,"ureagenesis, down",Metabolic Regulation,liver,Liver,hepatocyte,Epithelial – Hepatobiliary & Pancreatic Ductal,Hepatocytes,NS,Unspecified / Generic,NS,Uremia,Renal & Urological,"urea production, down","Urea production, down",NS,NS,NS
15070924,0,healthy adults,human,Human – Observational/Patient samples,"ketosis, up",Metabolic Regulation,serum,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"insulin sensitivity, up; total cholesterol, up; low-density lipoprotein cholesterol, up","Insulin sensitivity, up; Total cholesterol, up; LDL cholesterol, up",NS,NS,NS
15123336,0,Alzheimer's disease; mild cognitive impairment,human,NS,"alternative energy substrate, positive",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Alzheimer's disease; Mild cognitive impairment,Neurodegenerative,"cognition (ADAS-cog) up, nan; paragraph recall up, nan","Cognition, nan; Memory (general), nan",oral emulsified medium chain triglycerides (MCTs),MCT / Medium-chain fats,NS
15139973,0,mouse sperm,animal,Animal – Mouse,"sperm motility, up",Ion & Nutrient Transport,testis,Testis,sperm,Reproductive – Male,Germ cells / Spermatogonia,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",D-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),D-BHB
1514604,0,subjects,human,NS,"lipolytic effect, up",Metabolic Regulation,plasma,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
15195553,ACE,perfused rabbit lungs,animal,Animal – Other Mammal,"endothelial angiotensin-converting enzyme activity, down",Vascular Function & Angiogenesis,lung,Lung,endothelial cell,Endothelial,Endothelial (unspecified),NS,Unspecified / Generic,NS,Pulmonary endothelial cell dysfunction,Respiratory,"endothelial function, down; hemorrhage, up; neutrophil infiltration, up; dry-to-wet weight ratio, down","Endothelial function, down; Brain injury, up; Inflammation, up; dry-to-wet weight ratio, down","beta-Hydroxybutyrate (beta OHB), at 5 mM",Exogenous BHB (unspecified/free acid),NS
15255945,0,adult sham animals; controlled cortical impact (CCI) animals,animal,Animal – Other Mammal,"cerebral uptake and oxidation, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Traumatic brain injury,Injury & Trauma,"ipsilateral cortical ATP concentration, up","ATP concentration, up",3 h betaHB infusion,Intravenous BHB,NS
15345971,BAD; 0; AKT1; NOS3; YWHAZ,Male Sprague Dawley rats,animal,Animal – Rat,"phosphorylation of apoptotic proteins, no-change",Cell Death & Survival,lung,Lung,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Pulmonary apoptosis,Respiratory,"pulmonary apoptosis, down","Apoptosis, down",ketone Ringer's (KR),Multi-source,NS
1536251,0,chronically catheterized fetal sheep,animal,Animal – Other Mammal,"uptake, up",Ion & Nutrient Transport,fetal hind limb,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Maternal starvation,Reproductive & Pregnancy,"lactate production, up; hind limb oxygen consumption, up; fetal arterial oxygen content, down","Lactate production, up; Oxygen consumption, up; Oxygen delivery, down",2 hour infusion,NS,NS
1542541,0,7-d postnatal rats; unilateral common carotid artery ligation + 8% oxygen hypoxia,animal,Animal – Rat,"beta-hydroxybutyrate concentration, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Perinatal hypoxic-ischemic encephalopathy,Neurodevelopmental & Neuropsychiatric,"neuropathologic outcome, improved","Neuroinflammation, improved",fasting,Fasting / Caloric restriction (endogenous),NS
15469939,0,MN9D cells; MN9X cells,in vitro,In vitro – Immortalized cell line,"cellular energy supplementation, decreased",Mitochondrial Function & Bioenergetics,midbrain,Brain/CNS,MN9D cells,Unspecified / Mixed,Cell line (origin unclear),mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"rotenone toxicity, decreased","Neurotoxicity, decreased",D-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),D-BHB
15479955,INS,rat pancreatic islets,animal,Animal – Rat,"NADH supply to respiratory chain, down",Mitochondrial Function & Bioenergetics,pancreatic islets,Pancreas,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",5 mM d-beta-hydroxybutyrate (HB),Exogenous BHB (unspecified/free acid),D-BHB
15677509,SLC12A2,Sprague-Dawley rats; streptozotocin-induced DKA,animal,Animal – Rat,"Na-K-Cl cotransporter activity, up",Ion & Nutrient Transport,brain,Brain/CNS,brain microvascular endothelial cells,Endothelial,Endothelial (unspecified),NS,Unspecified / Generic,NS,Diabetic ketoacidosis,Metabolic & Endocrine,"NS, nan","NS, nan",NS,NS,NS
15825191,CYCS; CASP3; 0,rat primary hippocampal neurons,animal; in vitro,Animal – Rat,"apoptosis, down",Cell Death & Survival,hippocampus,Brain/CNS,hippocampal neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Ischemic penumbra,Cerebrovascular / Stroke,"apoptotic damage, down","Apoptosis, down",4 mM Na D-beta-hydroxybutyrate (bHB),Exogenous BHB (unspecified/free acid),D-BHB
15883160,GAPDH; RNASE1; LAMP2; HSPA8,cells; isolated lysosomes,in vitro,NS; In vitro – Primary cells,"protein oxidation, up",Metabolic Regulation,NS,NS,NS,Unspecified / Mixed,NS,lysosome,Lysosome,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",physiological concentrations,NS,NS
